=== TRAIN オノマトペデータセット合成ログ ===
生成時刻: 2025-10-29 18:30:14
目標画像数: 400
      スケール比: 0.0267
    オノマトペ11: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 49x27
      配置位置: (1266,543)
      スケール: 0.000855
      スケール比: 0.0319
    オノマトペ12: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 28x32
      配置位置: (972,574)
      スケール: 0.000578
      スケール比: 0.0182
    オノマトペ13: 046.png
      元サイズ: 1024x1536
      クロップサイズ: 443x1006
      最終サイズ: 48x111
      配置位置: (1329,9)
      スケール: 0.003461
      スケール比: 0.0312
    オノマトペ14: 016.png
      元サイズ: 1024x1024
      クロップサイズ: 281x792
      最終サイズ: 52x146
      配置位置: (234,684)
      スケール: 0.004871
      スケール比: 0.0339
    オノマトペ15: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 23x45
      配置位置: (492,926)
      スケール: 0.000681
      スケール比: 0.0150

画像 227.png:
  背景ファイル: 061.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 81x18
      配置位置: (232,395)
      スケール: 0.000973
      スケール比: 0.0527
    オノマトペ2: 066.png
      元サイズ: 1024x1536
      クロップサイズ: 425x1159
      最終サイズ: 25x70
      配置位置: (525,553)
      スケール: 0.001148
      スケール比: 0.0163
    オノマトペ3: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 121x73
      配置位置: (579,25)
      スケール: 0.005709
      スケール比: 0.0788
    オノマトペ4: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 39x76
      配置位置: (1058,841)
      スケール: 0.001913
      スケール比: 0.0254

画像 228.png:
  背景ファイル: 062.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 5
    オノマトペ1: 059.png
      元サイズ: 1024x1536
      クロップサイズ: 453x1037
      最終サイズ: 24x56
      配置位置: (607,919)
      スケール: 0.000877
      スケール比: 0.0156
    オノマトペ2: 026.png
      元サイズ: 1024x1024
      クロップサイズ: 818x203
      最終サイズ: 135x33
      配置位置: (1334,197)
      スケール: 0.002890
      スケール比: 0.0879
    オノマトペ3: 001.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 70x30
      配置位置: (656,526)
      スケール: 0.001362
      スケール比: 0.0456
    オノマトペ4: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 46x130
      配置位置: (168,98)
      スケール: 0.003874
      スケール比: 0.0299
    オノマトペ5: 066.png
      元サイズ: 1024x1536
      クロップサイズ: 425x1159
      最終サイズ: 23x62
      配置位置: (342,791)
      スケール: 0.000922
      スケール比: 0.0150

画像 229.png:
  背景ファイル: 063.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 12
    オノマトペ1: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 71x171
      配置位置: (1439,759)
      スケール: 0.007760
      スケール比: 0.0462
    オノマトペ2: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 54x153
      配置位置: (891,662)
      スケール: 0.005362
      スケール比: 0.0352
    オノマトペ3: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 57x33
      配置位置: (147,764)
      スケール: 0.001206
      スケール比: 0.0371
    オノマトペ4: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 84x48
      配置位置: (1405,157)
      スケール: 0.002589
      スケール比: 0.0547
    オノマトペ5: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 35x79
      配置位置: (48,470)
      スケール: 0.001773
      スケール比: 0.0228
    オノマトペ6: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 58x151
      配置位置: (1468,339)
      スケール: 0.005637
      スケール比: 0.0378
    オノマトペ7: 079.png
      元サイズ: 1024x1024
      クロップサイズ: 428x946
      最終サイズ: 28x63
      配置位置: (77,89)
      スケール: 0.001146
      スケール比: 0.0182
    オノマトペ8: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 95x50
      配置位置: (150,55)
      スケール: 0.003038
      スケール比: 0.0618
    オノマトペ9: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 31x94
      配置位置: (364,813)
      スケール: 0.001894
      スケール比: 0.0202
    オノマトペ10: 051.png
      元サイズ: 1024x1536
      クロップサイズ: 314x1213
      最終サイズ: 36x139
      配置位置: (515,571)
      スケール: 0.003207
      スケール比: 0.0234
    オノマトペ11: 068.png
      元サイズ: 1024x1024
      クロップサイズ: 442x931
      最終サイズ: 74x157
      配置位置: (144,588)
      スケール: 0.007478
      スケール比: 0.0482
    オノマトペ12: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 39x137
      配置位置: (466,264)
      スケール: 0.003452
      スケール比: 0.0254

画像 230.png:
  背景ファイル: 064.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 18x42
      配置位置: (129,774)
      スケール: 0.000500
      スケール比: 0.0117
    オノマトペ2: 010.png
      元サイズ: 1536x1024
      クロップサイズ: 1090x493
      最終サイズ: 56x25
      配置位置: (1199,46)
      スケール: 0.000929
      スケール比: 0.0365
    オノマトペ3: 001.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 82x35
      配置位置: (1435,868)
      スケール: 0.001858
      スケール比: 0.0534
    オノマトペ4: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 106x26
      配置位置: (148,366)
      スケール: 0.001817
      スケール比: 0.0690
    オノマトペ5: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 61x35
      配置位置: (1029,108)
      スケール: 0.001382
      スケール比: 0.0397
    オノマトペ6: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 31x35
      配置位置: (593,805)
      スケール: 0.000706
      スケール比: 0.0202
    オノマトペ7: 058.png
      元サイズ: 1024x1536
      クロップサイズ: 362x1026
      最終サイズ: 41x118
      配置位置: (1404,308)
      スケール: 0.003139
      スケール比: 0.0267
    オノマトペ8: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 47x26
      配置位置: (1242,88)
      スケール: 0.000800
      スケール比: 0.0306
    オノマトペ9: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 44x114
      配置位置: (896,390)
      スケール: 0.003191
      スケール比: 0.0286
    オノマトペ10: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 27x80
      配置位置: (809,841)
      スケール: 0.001426
      スケール比: 0.0176
    オノマトペ11: 068.png
      元サイズ: 1024x1024
      クロップサイズ: 442x931
      最終サイズ: 63x133
      配置位置: (1353,31)
      スケール: 0.005345
      スケール比: 0.0410
    オノマトペ12: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 36x86
      配置位置: (970,160)
      スケール: 0.001989
      スケール比: 0.0234
    オノマトペ13: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 48x29
      配置位置: (1092,225)
      スケール: 0.000920
      スケール比: 0.0312
    オノマトペ14: 007.png
      元サイズ: 1536x1024
      クロップサイズ: 1033x483
      最終サイズ: 120x56
      配置位置: (279,764)
      スケール: 0.004327
      スケール比: 0.0781
    オノマトペ15: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 45x17
      配置位置: (800,815)
      スケール: 0.000500
      スケール比: 0.0293

画像 231.png:
  背景ファイル: 065.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 11
    オノマトペ1: 069.png
      元サイズ: 1024x1024
      クロップサイズ: 420x942
      最終サイズ: 67x152
      配置位置: (252,42)
      スケール: 0.006587
      スケール比: 0.0436
    オノマトペ2: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 49x27
      配置位置: (10,586)
      スケール: 0.000871
      スケール比: 0.0319
    オノマトペ3: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 86x33
      配置位置: (1221,403)
      スケール: 0.001839
      スケール比: 0.0560
    オノマトペ4: 059.png
      元サイズ: 1024x1536
      クロップサイズ: 453x1037
      最終サイズ: 18x42
      配置位置: (1100,560)
      スケール: 0.000500
      スケール比: 0.0117
    オノマトペ5: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 56x28
      配置位置: (174,312)
      スケール: 0.001019
      スケール比: 0.0365
    オノマトペ6: 078.png
      元サイズ: 1024x1024
      クロップサイズ: 348x881
      最終サイズ: 24x61
      配置位置: (430,766)
      スケール: 0.000960
      スケール比: 0.0156
    オノマトペ7: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 18x43
      配置位置: (1518,925)
      スケール: 0.000500
      スケール比: 0.0117
    オノマトペ8: 008.png
      元サイズ: 1024x1536
      クロップサイズ: 860x476
      最終サイズ: 47x26
      配置位置: (1486,352)
      スケール: 0.000807
      スケール比: 0.0306
    オノマトペ9: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 62x140
      配置位置: (433,422)
      スケール: 0.005639
      スケール比: 0.0404
    オノマトペ10: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 33x116
      配置位置: (1322,871)
      スケール: 0.002496
      スケール比: 0.0215
    オノマトペ11: 027.png
      元サイズ: 1024x1024
      クロップサイズ: 747x236
      最終サイズ: 49x15
      配置位置: (1049,145)
      スケール: 0.000500
      スケール比: 0.0319

画像 232.png:
  背景ファイル: 066.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 9
    オノマトペ1: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 52x59
      配置位置: (1161,872)
      スケール: 0.001996
      スケール比: 0.0339
    オノマトペ2: 050.png
      元サイズ: 1024x1536
      クロップサイズ: 380x1056
      最終サイズ: 55x153
      配置位置: (111,871)
      スケール: 0.005378
      スケール比: 0.0358
    オノマトペ3: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 86x33
      配置位置: (1124,472)
      スケール: 0.001819
      スケール比: 0.0560
    オノマトペ4: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 23x47
      配置位置: (1320,562)
      スケール: 0.000707
      スケール比: 0.0150
    オノマトペ5: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 27x99
      配置位置: (149,297)
      スケール: 0.001710
      スケール比: 0.0176
    オノマトペ6: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 44x127
      配置位置: (1375,68)
      スケール: 0.003589
      スケール比: 0.0286
    オノマトペ7: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 43x82
      配置位置: (513,100)
      スケール: 0.002291
      スケール比: 0.0280
    オノマトペ8: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 167x40
      配置位置: (404,743)
      スケール: 0.004271
      スケール比: 0.1087
    オノマトペ9: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 82x20
      配置位置: (1189,498)
      スケール: 0.001077
      スケール比: 0.0534

画像 233.png:
  背景ファイル: 067.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 6
    オノマトペ1: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 80x19
      配置位置: (1268,71)
      スケール: 0.000992
      スケール比: 0.0521
    オノマトペ2: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 48x26
      配置位置: (396,325)
      スケール: 0.000819
      スケール比: 0.0312
    オノマトペ3: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 40x87
      配置位置: (995,461)
      スケール: 0.002254
      スケール比: 0.0260
    オノマトペ4: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 37x28
      配置位置: (672,631)
      スケール: 0.000681
      スケール比: 0.0241
    オノマトペ5: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 37x111
      配置位置: (1350,313)
      スケール: 0.002649
      スケール比: 0.0241
    オノマトペ6: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 37x20
      配置位置: (1420,598)
      スケール: 0.000500
      スケール比: 0.0241

画像 234.png:
  背景ファイル: 068.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 6
    オノマトペ1: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 46x31
      配置位置: (641,252)
      スケール: 0.000942
      スケール比: 0.0299
    オノマトペ2: 007.png
      元サイズ: 1536x1024
      クロップサイズ: 1033x483
      最終サイズ: 94x44
      配置位置: (453,729)
      スケール: 0.002646
      スケール比: 0.0612
    オノマトペ3: 039.png
      元サイズ: 1536x1024
      クロップサイズ: 1252x434
      最終サイズ: 127x44
      配置位置: (1312,446)
      スケール: 0.003569
      スケール比: 0.0827
    オノマトペ4: 011.png
      元サイズ: 1024x1024
      クロップサイズ: 787x427
      最終サイズ: 99x53
      配置位置: (566,860)
      スケール: 0.003399
      スケール比: 0.0645
    オノマトペ5: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 114x203
      配置位置: (736,137)
      スケール: 0.014902
      スケール比: 0.0742
    オノマトペ6: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 47x114
      配置位置: (1391,750)
      スケール: 0.003455
      スケール比: 0.0306

画像 235.png:
  背景ファイル: 069.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 8
    オノマトペ1: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 95x22
      配置位置: (1129,111)
      スケール: 0.001383
      スケール比: 0.0618
    オノマトペ2: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 48x24
      配置位置: (359,661)
      スケール: 0.000765
      スケール比: 0.0312
    オノマトペ3: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 20x71
      配置位置: (1242,83)
      スケール: 0.000943
      スケール比: 0.0130
    オノマトペ4: 001.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 54x23
      配置位置: (574,879)
      スケール: 0.000805
      スケール比: 0.0352
    オノマトペ5: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 29x131
      配置位置: (286,551)
      スケール: 0.002478
      スケール比: 0.0189
    オノマトペ6: 010.png
      元サイズ: 1536x1024
      クロップサイズ: 1090x493
      最終サイズ: 64x29
      配置位置: (402,269)
      スケール: 0.001194
      スケール比: 0.0417
    オノマトペ7: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 46x31
      配置位置: (1283,78)
      スケール: 0.000909
      スケール比: 0.0299
    オノマトペ8: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 59x13
      配置位置: (154,913)
      スケール: 0.000514
      スケール比: 0.0384

画像 236.png:
  背景ファイル: 070.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 3
    オノマトペ1: 040.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 66x28
      配置位置: (1191,592)
      スケール: 0.001206
      スケール比: 0.0430
    オノマトペ2: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 31x101
      配置位置: (829,787)
      スケール: 0.002021
      スケール比: 0.0202
    オノマトペ3: 031.png
      元サイズ: 1024x1024
      クロップサイズ: 818x362
      最終サイズ: 66x29
      配置位置: (1208,217)
      スケール: 0.001235
      スケール比: 0.0430

画像 237.png:
  背景ファイル: 071.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 29x92
      配置位置: (749,401)
      スケール: 0.001722
      スケール比: 0.0189
    オノマトペ2: 046.png
      元サイズ: 1024x1536
      クロップサイズ: 443x1006
      最終サイズ: 20x45
      配置位置: (457,912)
      スケール: 0.000578
      スケール比: 0.0130
    オノマトペ3: 078.png
      元サイズ: 1024x1024
      クロップサイズ: 348x881
      最終サイズ: 23x58
      配置位置: (1207,750)
      スケール: 0.000860
      スケール比: 0.0150
    オノマトペ4: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 44x29
      配置位置: (595,137)
      スケール: 0.000835
      スケール比: 0.0286

画像 238.png:
  背景ファイル: 072.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 20x72
      配置位置: (1052,143)
      スケール: 0.000964
      スケール比: 0.0130
    オノマトペ2: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 34x112
      配置位置: (913,163)
      スケール: 0.002490
      スケール比: 0.0221
    オノマトペ3: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 60x115
      配置位置: (366,579)
      スケール: 0.004415
      スケール比: 0.0391
    オノマトペ4: 061.png
      元サイズ: 1024x1536
      クロップサイズ: 391x1047
      最終サイズ: 41x112
      配置位置: (1158,675)
      スケール: 0.003001
      スケール比: 0.0267
    オノマトペ5: 050.png
      元サイズ: 1024x1536
      クロップサイズ: 380x1056
      最終サイズ: 23x66
      配置位置: (299,753)
      スケール: 0.001002
      スケール比: 0.0150
    オノマトペ6: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 25x51
      配置位置: (1499,495)
      スケール: 0.000827
      スケール比: 0.0163
    オノマトペ7: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 18x43
      配置位置: (734,41)
      スケール: 0.000500
      スケール比: 0.0117
    オノマトペ8: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 88x21
      配置位置: (448,779)
      スケール: 0.001183
      スケール比: 0.0573
    オノマトペ9: 034.png
      元サイズ: 1024x1024
      クロップサイズ: 857x471
      最終サイズ: 60x33
      配置位置: (998,237)
      スケール: 0.001263
      スケール比: 0.0391
    オノマトペ10: 011.png
      元サイズ: 1024x1024
      クロップサイズ: 787x427
      最終サイズ: 100x54
      配置位置: (128,270)
      スケール: 0.003509
      スケール比: 0.0651
    オノマトペ11: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 56x14
      配置位置: (756,239)
      スケール: 0.000500
      スケール比: 0.0365
    オノマトペ12: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 96x37
      配置位置: (87,684)
      スケール: 0.002284
      スケール比: 0.0625
    オノマトペ13: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 44x114
      配置位置: (423,530)
      スケール: 0.003223
      スケール比: 0.0286
    オノマトペ14: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 35x63
      配置位置: (739,397)
      スケール: 0.001432
      スケール比: 0.0228
    オノマトペ15: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 46x89
      配置位置: (961,465)
      スケール: 0.002643
      スケール比: 0.0299

画像 239.png:
  背景ファイル: 073.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 10
    オノマトペ1: 066.png
      元サイズ: 1024x1536
      クロップサイズ: 425x1159
      最終サイズ: 64x174
      配置位置: (539,592)
      スケール: 0.007135
      スケール比: 0.0417
    オノマトペ2: 072.png
      元サイズ: 1024x1024
      クロップサイズ: 443x880
      最終サイズ: 28x56
      配置位置: (1114,583)
      スケール: 0.001006
      スケール比: 0.0182
    オノマトペ3: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 152x92
      配置位置: (356,385)
      スケール: 0.008931
      スケール比: 0.0990
    オノマトペ4: 051.png
      元サイズ: 1024x1536
      クロップサイズ: 314x1213
      最終サイズ: 32x125
      配置位置: (1338,387)
      スケール: 0.002583
      スケール比: 0.0208
    オノマトペ5: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 39x21
      配置位置: (748,601)
      スケール: 0.000537
      スケール比: 0.0254
    オノマトペ6: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 39x19
      配置位置: (1338,919)
      スケール: 0.000500
      スケール比: 0.0254
    オノマトペ7: 046.png
      元サイズ: 1024x1536
      クロップサイズ: 443x1006
      最終サイズ: 68x155
      配置位置: (159,529)
      スケール: 0.006764
      スケール比: 0.0443
    オノマトペ8: 039.png
      元サイズ: 1536x1024
      クロップサイズ: 1252x434
      最終サイズ: 47x16
      配置位置: (515,385)
      スケール: 0.000500
      スケール比: 0.0306
    オノマトペ9: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 86x45
      配置位置: (456,528)
      スケール: 0.002516
      スケール比: 0.0560
    オノマトペ10: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 57x32
      配置位置: (831,361)
      スケール: 0.001178
      スケール比: 0.0371

画像 240.png:
  背景ファイル: 074.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 14
    オノマトペ1: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 62x12
      配置位置: (433,153)
      スケール: 0.000500
      スケール比: 0.0404
    オノマトペ2: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 31x88
      配置位置: (382,161)
      スケール: 0.001797
      スケール比: 0.0202
    オノマトペ3: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 120x60
      配置位置: (741,616)
      スケール: 0.004656
      スケール比: 0.0781
    オノマトペ4: 062.png
      元サイズ: 1024x1536
      クロップサイズ: 454x1089
      最終サイズ: 32x79
      配置位置: (1469,836)
      スケール: 0.001659
      スケール比: 0.0208
    オノマトペ5: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 22x47
      配置位置: (242,676)
      スケール: 0.000691
      スケール比: 0.0143
    オノマトペ6: 049.png
      元サイズ: 1024x1536
      クロップサイズ: 352x915
      最終サイズ: 63x165
      配置位置: (471,424)
      スケール: 0.006700
      スケール比: 0.0410
    オノマトペ7: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 19x54
      配置位置: (676,737)
      スケール: 0.000683
      スケール比: 0.0124
    オノマトペ8: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 45x17
      配置位置: (232,493)
      スケール: 0.000500
      スケール比: 0.0293
    オノマトペ9: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 30x53
      配置位置: (1382,490)
      スケール: 0.001038
      スケール比: 0.0195
    オノマトペ10: 016.png
      元サイズ: 1024x1024
      クロップサイズ: 281x792
      最終サイズ: 18x51
      配置位置: (981,215)
      スケール: 0.000601
      スケール比: 0.0117
    オノマトペ11: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 23x76
      配置位置: (1209,165)
      スケール: 0.001158
      スケール比: 0.0150
    オノマトペ12: 026.png
      元サイズ: 1024x1024
      クロップサイズ: 818x203
      最終サイズ: 165x41
      配置位置: (1325,853)
      スケール: 0.004328
      スケール比: 0.1074
    オノマトペ13: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 55x33
      配置位置: (841,22)
      スケール: 0.001181
      スケール比: 0.0358
    オノマトペ14: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 80x45
      配置位置: (499,44)
      スケール: 0.002314
      スケール比: 0.0521

画像 241.png:
  背景ファイル: 075.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 071.png
      元サイズ: 1024x1024
      クロップサイズ: 393x856
      最終サイズ: 25x56
      配置位置: (80,912)
      スケール: 0.000930
      スケール比: 0.0163
    オノマトペ2: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 81x93
      配置位置: (1172,150)
      スケール: 0.004847
      スケール比: 0.0527
    オノマトペ3: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 37x21
      配置位置: (114,170)
      スケール: 0.000500
      スケール比: 0.0241
    オノマトペ4: 026.png
      元サイズ: 1024x1024
      クロップサイズ: 818x203
      最終サイズ: 139x34
      配置位置: (528,944)
      スケール: 0.003050
      スケール比: 0.0905

画像 242.png:
  背景ファイル: 076.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 5
    オノマトペ1: 050.png
      元サイズ: 1024x1536
      クロップサイズ: 380x1056
      最終サイズ: 17x48
      配置位置: (175,221)
      スケール: 0.000532
      スケール比: 0.0111
    オノマトペ2: 072.png
      元サイズ: 1024x1024
      クロップサイズ: 443x880
      最終サイズ: 54x108
      配置位置: (919,621)
      スケール: 0.003789
      スケール比: 0.0352
    オノマトペ3: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 74x18
      配置位置: (965,888)
      スケール: 0.000880
      スケール比: 0.0482
    オノマトペ4: 040.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 43x18
      配置位置: (986,174)
      スケール: 0.000500
      スケール比: 0.0280
    オノマトペ5: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 45x24
      配置位置: (449,850)
      スケール: 0.000717
      スケール比: 0.0293

画像 243.png:
  背景ファイル: 077.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 7
    オノマトペ1: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 40x93
      配置位置: (701,464)
      スケール: 0.002423
      スケール比: 0.0260
    オノマトペ2: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 115x63
      配置位置: (1221,604)
      スケール: 0.004656
      スケール比: 0.0749
    オノマトペ3: 050.png
      元サイズ: 1024x1536
      クロップサイズ: 380x1056
      最終サイズ: 20x56
      配置位置: (140,235)
      スケール: 0.000742
      スケール比: 0.0130
    オノマトペ4: 046.png
      元サイズ: 1024x1536
      クロップサイズ: 443x1006
      最終サイズ: 18x42
      配置位置: (774,394)
      スケール: 0.000500
      スケール比: 0.0117
    オノマトペ5: 073.png
      元サイズ: 1024x1024
      クロップサイズ: 500x887
      最終サイズ: 24x42
      配置位置: (270,111)
      スケール: 0.000657
      スケール比: 0.0156
    オノマトペ6: 007.png
      元サイズ: 1536x1024
      クロップサイズ: 1033x483
      最終サイズ: 69x32
      配置位置: (33,207)
      スケール: 0.001427
      スケール比: 0.0449
    オノマトペ7: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 46x120
      配置位置: (1070,880)
      スケール: 0.003545
      スケール比: 0.0299

画像 244.png:
  背景ファイル: 078.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 2
    オノマトペ1: 054.png
